iso_code3,year,consumpinit_scoe_gj_per_hh_residential_elec_appliances,consumpinit_scoe_gj_per_hh_residential_heat_energy,consumpinit_scoe_tj_per_mmmgdp_commercial_municipal_elec_appliances,consumpinit_scoe_tj_per_mmmgdp_commercial_municipal_heat_energy,consumpinit_scoe_tj_per_mmmgdp_other_se_elec_appliances,consumpinit_scoe_tj_per_mmmgdp_other_se_heat_energy
TJK,2012,4.243115785421497,0.2233218834432367,343.7739197757291,18.093364198722583,0.0,0.0
TJK,2013,4.439057350256057,0.2336345973818977,351.84759999861143,18.518294736769025,0.0,0.0
TJK,2014,4.635000343057032,0.2439473864766859,360.27497083684653,18.961840570360344,0.0,0.0
TJK,2015,4.830940301412049,0.254260015863792,369.05790944378657,19.4241004970414,0.0,0.0
TJK,2016,5.162935412652414,0.2717334427711797,378.20601985983865,19.90557999262309,0.0,0.0
TJK,2017,5.49493123888246,0.2892069073096032,387.6657813870982,20.403462178268327,0.0,0.0
TJK,2018,5.826925785835306,0.3066803045176476,397.2950105728124,20.910263714358543,0.0,0.0
TJK,2019,6.158920449620411,0.3241537078747584,406.9067342121484,21.416143905902544,0.0,0.0
TJK,2020,6.425521304307571,0.3381853318056615,409.45513558185417,21.550270293781782,0.0,0.0
TJK,2021,6.425521304307571,0.3381853318056615,409.45513558185417,21.550270293781782,0.0,0.0
TJK,2022,6.425521304307571,0.3381853318056615,409.45513558185417,21.550270293781782,0.0,0.0
TJK,2023,6.425521304307571,0.3381853318056615,409.45513558185417,21.550270293781782,0.0,0.0
TJK,2024,6.425521304307571,0.3381853318056615,409.45513558185417,21.550270293781782,0.0,0.0
TJK,2025,6.425521304307571,0.3381853318056615,409.45513558185417,21.550270293781782,0.0,0.0
TJK,2026,6.425521304307571,0.3381853318056615,409.45513558185417,21.550270293781782,0.0,0.0
TJK,2027,6.425521304307571,0.3381853318056615,409.45513558185417,21.550270293781782,0.0,0.0
TJK,2028,6.425521304307571,0.3381853318056615,409.45513558185417,21.550270293781782,0.0,0.0
TJK,2029,6.425521304307571,0.3381853318056615,409.45513558185417,21.550270293781782,0.0,0.0
TJK,2030,6.425521304307571,0.3381853318056615,409.45513558185417,21.550270293781782,0.0,0.0
TJK,2031,6.425521304307571,0.3381853318056615,409.45513558185417,21.550270293781782,0.0,0.0
TJK,2032,6.425521304307571,0.3381853318056615,409.45513558185417,21.550270293781782,0.0,0.0
TJK,2033,6.425521304307571,0.3381853318056615,409.45513558185417,21.550270293781782,0.0,0.0
TJK,2034,6.425521304307571,0.3381853318056615,409.45513558185417,21.550270293781782,0.0,0.0
TJK,2035,6.425521304307571,0.3381853318056615,409.45513558185417,21.550270293781782,0.0,0.0
TJK,2036,6.425521304307571,0.3381853318056615,409.45513558185417,21.550270293781782,0.0,0.0
TJK,2037,6.425521304307571,0.3381853318056615,409.45513558185417,21.550270293781782,0.0,0.0
TJK,2038,6.425521304307571,0.3381853318056615,409.45513558185417,21.550270293781782,0.0,0.0
