iso_code3,year,frac_ippu_cement_clinker
BEN,2038,0.72
BEN,2039,0.72
BEN,2040,0.72
BEN,2041,0.72
BEN,2042,0.72
BEN,2043,0.72
BEN,2044,0.72
BEN,2045,0.72
BEN,2046,0.72
BEN,2047,0.72
BEN,2048,0.72
BEN,2049,0.72
BEN,2050,0.72
BFA,2010,0.72
BFA,2011,0.72
BFA,2012,0.72
BFA,2013,0.72
BFA,2014,0.72
BFA,2015,0.72
BFA,2016,0.72
BFA,2017,0.72
BFA,2018,0.72
BFA,2019,0.72
BFA,2020,0.72
BFA,2021,0.72
BFA,2022,0.72
BFA,2023,0.72
BFA,2024,0.72
BFA,2025,0.72
BFA,2026,0.72
BFA,2027,0.72
BFA,2028,0.72
BFA,2029,0.72
BFA,2030,0.72
BFA,2031,0.72
BFA,2032,0.72
BFA,2033,0.72
BFA,2034,0.72
BFA,2035,0.72
BFA,2036,0.72
BFA,2037,0.72
BFA,2038,0.72
BFA,2039,0.72
BFA,2040,0.72
BFA,2041,0.72
BFA,2042,0.72
BFA,2043,0.72
BFA,2044,0.72
BFA,2045,0.72
BFA,2046,0.72
BFA,2047,0.72
BFA,2048,0.72
BFA,2049,0.72
BFA,2050,0.72
BGD,2010,0.72
BGD,2011,0.72
BGD,2012,0.72
BGD,2013,0.72
BGD,2014,0.72
BGD,2015,0.72
BGD,2016,0.72
BGD,2017,0.72
BGD,2018,0.72
BGD,2019,0.72
BGD,2020,0.72
BGD,2021,0.72
BGD,2022,0.72
BGD,2023,0.72
BGD,2024,0.72
BGD,2025,0.72
BGD,2026,0.72
BGD,2027,0.72
BGD,2028,0.72
BGD,2029,0.72
BGD,2030,0.72
BGD,2031,0.72
BGD,2032,0.72
BGD,2033,0.72
BGD,2034,0.72
BGD,2035,0.72
BGD,2036,0.72
BGD,2037,0.72
BGD,2038,0.72
BGD,2039,0.72
BGD,2040,0.72
BGD,2041,0.72
BGD,2042,0.72
BGD,2043,0.72
BGD,2044,0.72
BGD,2045,0.72
BGD,2046,0.72
BGD,2047,0.72
BGD,2048,0.72
BGD,2049,0.72
BGD,2050,0.72
BGR,2010,0.72
BGR,2011,0.72
BGR,2012,0.72
BGR,2013,0.72
BGR,2014,0.72
BGR,2015,0.72
BGR,2016,0.72
BGR,2017,0.72
BGR,2018,0.72
BGR,2019,0.72
BGR,2020,0.72
BGR,2021,0.72
BGR,2022,0.72
BGR,2023,0.72
BGR,2024,0.72
BGR,2025,0.72
BGR,2026,0.72
BGR,2027,0.72
BGR,2028,0.72
BGR,2029,0.72
BGR,2030,0.72
BGR,2031,0.72
BGR,2032,0.72
BGR,2033,0.72
BGR,2034,0.72
BGR,2035,0.72
BGR,2036,0.72
BGR,2037,0.72
BGR,2038,0.72
BGR,2039,0.72
BGR,2040,0.72
BGR,2041,0.72
BGR,2042,0.72
BGR,2043,0.72
BGR,2044,0.72
BGR,2045,0.72
BGR,2046,0.72
BGR,2047,0.72
BGR,2048,0.72
BGR,2049,0.72
BGR,2050,0.72
BHR,2010,0.72
BHR,2011,0.72
BHR,2012,0.72
BHR,2013,0.72
BHR,2014,0.72
BHR,2015,0.72
BHR,2016,0.72
BHR,2017,0.72
BHR,2018,0.72
BHR,2019,0.72
BHR,2020,0.72
BHR,2021,0.72
BHR,2022,0.72
BHR,2023,0.72
BHR,2024,0.72
BHR,2025,0.72
BHR,2026,0.72
BHR,2027,0.72
BHR,2028,0.72
BHR,2029,0.72
BHR,2030,0.72
BHR,2031,0.72
BHR,2032,0.72
BHR,2033,0.72
BHR,2034,0.72
BHR,2035,0.72
BHR,2036,0.72
BHR,2037,0.72
BHR,2038,0.72
BHR,2039,0.72
BHR,2040,0.72
BHR,2041,0.72
BHR,2042,0.72
BHR,2043,0.72
BHR,2044,0.72
BHR,2045,0.72
BHR,2046,0.72
BHR,2047,0.72
BHR,2048,0.72
BHR,2049,0.72
BHR,2050,0.72
BHS,2010,0.72
BHS,2011,0.72
BHS,2012,0.72
BHS,2013,0.72
BHS,2014,0.72
BHS,2015,0.72
BHS,2016,0.72
BHS,2017,0.72
BHS,2018,0.72
BHS,2019,0.72
BHS,2020,0.72
BHS,2021,0.72
BHS,2022,0.72
