year,iso_code3,prodinit_ippu_cement_tonne,prodinit_ippu_chemicals_tonne,prodinit_ippu_electronics_tonne,prodinit_ippu_glass_tonne,prodinit_ippu_lime_and_carbonite_tonne,prodinit_ippu_metals_tonne,prodinit_ippu_mining_tonne,prodinit_ippu_paper_tonne,prodinit_ippu_plastic_tonne,prodinit_ippu_rubber_and_leather_tonne,prodinit_ippu_textiles_tonne
2046,MEX,47830000.0,4145162.07494542,12996545.3379814,464580.939430365,21032.9471766494,25425029.7416747,139177714.148699,5769697.26498451,5656888.15588946,236325.294013164,861150.635832346
2047,MEX,47830000.0,4145162.07494542,12996545.3379814,464580.939430365,21032.9471766494,25425029.7416747,139177714.148699,5769697.26498451,5656888.15588946,236325.294013164,861150.635832346
2048,MEX,47830000.0,4145162.07494542,12996545.3379814,464580.939430365,21032.9471766494,25425029.7416747,139177714.148699,5769697.26498451,5656888.15588946,236325.294013164,861150.635832346
2049,MEX,47830000.0,4145162.07494542,12996545.3379814,464580.939430365,21032.9471766494,25425029.7416747,139177714.148699,5769697.26498451,5656888.15588946,236325.294013164,861150.635832346
2050,MEX,47830000.0,4145162.07494542,12996545.3379814,464580.939430365,21032.9471766494,25425029.7416747,139177714.148699,5769697.26498451,5656888.15588946,236325.294013164,861150.635832346
2010,MHL,9527.561088,118.387827255561,303.01934288845,197.854292775193,0.0,13066.9190120231,3400.60317211052,602.580875278312,156.955312043846,13.3271089950858,61.2670904839978
2011,MHL,18464.61461,1642.25125063838,537.853204711557,36.4646247832732,0.0,9721.14597118141,256.423278517708,1290.16993703234,1383.56121861868,12.4744634356544,58.236470129407
2012,MHL,29590.53692,41.6799413677688,211.046882490827,99.7639423750177,0.0,17218.1188069731,30.95578923475,736.501117567786,241.377203983694,18.506198543832,80.0928130471057
2013,MHL,8550.956036,44.7548392746889,213.609625808825,9.80658616264098,0.0,11906.2906730513,0.0,588.47348821291,188.489269313449,13.9708822045253,98.503982047546
2014,MHL,137946.6532,54.5854800020587,419.631960119583,5.09262130745948,0.0,10650.7239300184,5802.19168005161,498.456607341388,308.518925621325,13.1343475405038,201.718417990882
