r,f,l,val
andorra,fuel_electricity,sep_nov_wd18,0.0440477457881398
andorra,fuel_electricity,sep_nov_wd6,0.0420519843216985
andorra,fuel_electricity,sep_nov_we0,0.0161471458491216
andorra,fuel_electricity,sep_nov_we12,0.0176137507314866
andorra,fuel_electricity,sep_nov_we18,0.0167969735460114
andorra,fuel_electricity,sep_nov_we6,0.0160359186507801
angola,fuel_electricity,dec_feb_wd0,0.0431047548358423
angola,fuel_electricity,dec_feb_wd12,0.0470198519363514
angola,fuel_electricity,dec_feb_wd18,0.0448394678199018
angola,fuel_electricity,dec_feb_wd6,0.0428078341812335
angola,fuel_electricity,dec_feb_we0,0.0164373775259096
angola,fuel_electricity,dec_feb_we12,0.0179303434257678
angola,fuel_electricity,dec_feb_we18,0.0170988853416175
angola,fuel_electricity,dec_feb_we6,0.0163241511100853
angola,fuel_electricity,jun_aug_wd0,0.0454596160949882
angola,fuel_electricity,jun_aug_wd12,0.0495885993554556
angola,fuel_electricity,jun_aug_wd18,0.0472890984013059
angola,fuel_electricity,jun_aug_wd6,0.0451464743309161
angola,fuel_electricity,jun_aug_we0,0.0173353699558661
angola,fuel_electricity,jun_aug_we12,0.0189098982627533
angola,fuel_electricity,jun_aug_we18,0.01803301668789
angola,fuel_electricity,jun_aug_we6,0.0172159578535405
angola,fuel_electricity,mar_may_wd0,0.0434832870091797
angola,fuel_electricity,mar_may_wd12,0.0474327652404928
angola,fuel_electricity,mar_may_wd18,0.0452332336879552
angola,fuel_electricity,mar_may_wd6,0.0431837588923287
angola,fuel_electricity,mar_may_we0,0.016581725319153
angola,fuel_electricity,mar_may_we12,0.0180878019681372
angola,fuel_electricity,mar_may_we18,0.0172490422849677
angola,fuel_electricity,mar_may_we6,0.0164675045851514
angola,fuel_electricity,sep_nov_wd0,0.0434869846298975
angola,fuel_electricity,sep_nov_wd12,0.0474367987068546
angola,fuel_electricity,sep_nov_wd18,0.0452370801161698
angola,fuel_electricity,sep_nov_wd6,0.0431874310425393
angola,fuel_electricity,sep_nov_we0,0.016583135353566
angola,fuel_electricity,sep_nov_we12,0.0180893400724503
angola,fuel_electricity,sep_nov_we18,0.0172505090649768
angola,fuel_electricity,sep_nov_we6,0.0164689049067534
antigua_and_barbuda,fuel_electricity,dec_feb_wd0,0.0457887732199526
antigua_and_barbuda,fuel_electricity,dec_feb_wd12,0.0499476529990401
antigua_and_barbuda,fuel_electricity,dec_feb_wd18,0.0476315021655483
antigua_and_barbuda,fuel_electricity,dec_feb_wd6,0.0454733641062718
antigua_and_barbuda,fuel_electricity,dec_feb_we0,0.0174608892854387
antigua_and_barbuda,fuel_electricity,dec_feb_we12,0.0190468181991762
antigua_and_barbuda,fuel_electricity,dec_feb_we18,0.0181635874325928
antigua_and_barbuda,fuel_electricity,dec_feb_we6,0.0173406125619907
antigua_and_barbuda,fuel_electricity,jun_aug_wd0,0.0458983230309471
