r,l,pp_hydropower,pp_solar,pp_biogas,pp_biomass,pp_coal,pp_gas,pp_geothermal,pp_nuclear,pp_ocean,pp_oil,pp_waste_incineration,pp_wind
albania,dec_feb_wd12,0.470463013,0.384908002,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
albania,dec_feb_wd18,0.470463013,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
albania,dec_feb_wd6,0.470463013,0.075719607,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
albania,dec_feb_we0,0.470463013,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
albania,dec_feb_we12,0.470463013,0.384908002,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
albania,dec_feb_we18,0.470463013,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
albania,dec_feb_we6,0.470463013,0.075719607,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
albania,jun_aug_wd0,0.210359894,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
albania,jun_aug_wd12,0.210359894,0.476587566,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
albania,jun_aug_wd18,0.210359894,0.169894642,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
albania,jun_aug_wd6,0.210359894,0.244282648,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
albania,jun_aug_we0,0.210359894,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
albania,jun_aug_we12,0.210359894,0.476587566,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
albania,jun_aug_we18,0.210359894,0.169894642,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
albania,jun_aug_we6,0.210359894,0.244282648,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
albania,mar_may_wd0,0.501567916,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
albania,mar_may_wd12,0.501567916,0.462536571,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
albania,mar_may_wd18,0.501567916,0.087796294,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
albania,mar_may_wd6,0.501567916,0.179263512,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
albania,mar_may_we0,0.501567916,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
albania,mar_may_we12,0.501567916,0.462536571,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
albania,mar_may_we18,0.501567916,0.087796294,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
albania,mar_may_we6,0.501567916,0.179263512,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
albania,sep_nov_wd0,0.308814289,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
albania,sep_nov_wd12,0.308814289,0.434046811,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
albania,sep_nov_wd18,0.308814289,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
albania,sep_nov_wd6,0.308814289,0.175294581,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
albania,sep_nov_we0,0.308814289,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
albania,sep_nov_we12,0.308814289,0.434046811,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
albania,sep_nov_we18,0.308814289,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
albania,sep_nov_we6,0.308814289,0.175294581,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
argentina,dec_feb_wd0,0.377903586,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
argentina,dec_feb_wd12,0.377903586,0.516366201,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
argentina,dec_feb_wd18,0.377903586,0.215152584,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
argentina,dec_feb_wd6,0.377903586,0.1475332,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
argentina,dec_feb_we0,0.377903586,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
argentina,dec_feb_we12,0.377903586,0.516366201,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
argentina,dec_feb_we18,0.377903586,0.215152584,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
argentina,dec_feb_we6,0.377903586,0.1475332,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
argentina,jun_aug_wd0,0.423787112,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
argentina,jun_aug_wd12,0.423787112,0.561956413,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
argentina,jun_aug_wd18,0.423787112,0.051759143,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
argentina,jun_aug_wd6,0.423787112,0.029576653,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
argentina,jun_aug_we0,0.423787112,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
argentina,jun_aug_we12,0.423787112,0.561956413,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
argentina,jun_aug_we18,0.423787112,0.051759143,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
argentina,jun_aug_we6,0.423787112,0.029576653,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
argentina,mar_may_wd0,0.351868874,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
argentina,mar_may_wd12,0.351868874,0.576590813,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
argentina,mar_may_wd18,0.351868874,0.049221167,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
argentina,mar_may_wd6,0.351868874,0.084379143,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
argentina,mar_may_we0,0.351868874,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
argentina,mar_may_we12,0.351868874,0.576590813,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
argentina,mar_may_we18,0.351868874,0.049221167,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
argentina,mar_may_we6,0.351868874,0.084379143,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
argentina,sep_nov_wd0,0.446463975,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
argentina,sep_nov_wd12,0.446463975,0.544674419,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
argentina,sep_nov_wd18,0.446463975,0.136168605,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
argentina,sep_nov_wd6,0.446463975,0.155621262,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
argentina,sep_nov_we0,0.446463975,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
argentina,sep_nov_we12,0.446463975,0.544674419,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
argentina,sep_nov_we18,0.446463975,0.136168605,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
argentina,sep_nov_we6,0.446463975,0.155621262,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
armenia,dec_feb_wd0,0.238620735,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
