category_name,region,iso_alpha_3,fao_area_code,world_bank_global_region
Russian Federation,russia,RUS,185,Europe & Central Asia
Rwanda,rwanda,RWA,184,Sub-Saharan Africa
Saint Kitts and Nevis,saint_kitts_and_nevis,KNA,188,Latin America & Caribbean
Saint Lucia,saint_lucia,LCA,189,Latin America & Caribbean
Saint Vincent and the Grenadines,saint_vincent_and_the_grenadines,VCT,191,Latin America & Caribbean
Saint-Martin (French part),saint_martin,MAF,281,Latin America & Caribbean
Samoa,samoa,WSM,244,East Asia & Pacific
San Marino,san_marino,SMR,192,Europe & Central Asia
Sao Tome and Principe,sao_tome_and_principe,STP,193,Sub-Saharan Africa
Saudi Arabia,saudi_arabia,SAU,194,Middle East & North Africa
Senegal,senegal,SEN,195,Sub-Saharan Africa
Serbia,serbia,SRB,272,Europe & Central Asia
Seychelles,seychelles,SYC,196,Sub-Saharan Africa
Sierra Leone,sierra_leone,SLE,197,Sub-Saharan Africa
Singapore,singapore,SGP,200,East Asia & Pacific
Sint Maarten (Dutch part),sint_maarten,SXM,280,Latin America & Caribbean
Slovakia,slovakia,SVK,199,Europe & Central Asia
Slovenia,slovenia,SVN,198,Europe & Central Asia
Solomon Islands,solomon_islands,SLB,25,East Asia & Pacific
Somalia,somalia,SOM,201,Sub-Saharan Africa
South Africa,south_africa,ZAF,202,Sub-Saharan Africa
South Sudan,south_sudan,SSD,277,Sub-Saharan Africa
Spain,spain,ESP,203,Europe & Central Asia
Sri Lanka,sri_lanka,LKA,38,South Asia
Sudan,sudan,SDN,276,Sub-Saharan Africa
Suriname,suriname,SUR,207,Latin America & Caribbean
Sweden,sweden,SWE,210,Europe & Central Asia
Switzerland,switzerland,CHE,211,Europe & Central Asia
Syrian Arab Republic,syrian_arab_republic,SYR,212,Middle East & North Africa
Tajikistan,tajikistan,TJK,208,Europe & Central Asia
Thailand,thailand,THA,216,East Asia & Pacific
Timor-Leste,timor_leste,TLS,176,East Asia & Pacific
Togo,togo,TGO,217,Sub-Saharan Africa
Tonga,tonga,TON,219,East Asia & Pacific
Trinidad and Tobago,trinidad_and_tobago,TTO,220,Latin America & Caribbean
Tunisia,tunisia,TUN,222,Middle East & North Africa
Turkey,turkey,TUR,223,Europe & Central Asia
Turkmenistan,turkmenistan,TKM,213,Europe & Central Asia
Turks and Caicos Islands,turks_and_caicos_islands,TCA,224,Latin America & Caribbean
Tuvalu,tuvalu,TUV,227,East Asia & Pacific
Uganda,uganda,UGA,226,Sub-Saharan Africa
Ukraine,ukraine,UKR,230,Europe & Central Asia
United Arab Emirates,united_arab_emirates,ARE,225,Middle East & North Africa
United Kingdom,united_kingdom,GBR,229,Europe & Central Asia
United Republic of Tanzania,united_republic_of_tanzania,TZA,215,Sub-Saharan Africa
United States Virgin Islands,united_states_virgin_islands,VIR,240,Latin America & Caribbean
United States of America,united_states_of_america,USA,231,North America
Uruguay,uruguay,URY,234,Latin America & Caribbean
Uzbekistan,uzbekistan,UZB,235,Europe & Central Asia
Vanuatu,vanuatu,VUT,155,East Asia & Pacific
Venezuela,venezuela,VEN,236,Latin America & Caribbean
Viet Nam,viet_nam,VNM,237,East Asia & Pacific
Yemen,yemen,YEM,249,Middle East & North Africa
Zambia,zambia,ZMB,251,Sub-Saharan Africa
Zimbabwe,zimbabwe,ZWE,181,Sub-Saharan Africa
