Category Name,``$REGION$``,ISO Alpha 3,FAO Area Code,Latitude Population Centroid 2020,Longitude Population Centroid 2020,World Bank Global Region,UN Sub-Region,UN Region
Guyana,guyana,GUY,91,6.491529418133665,-58.219544480513015,Latin America & Caribbean,Latin America and the Caribbean,Americas
Haiti,haiti,HTI,93,18.88416098019328,-72.60998293304327,Latin America & Caribbean,Latin America and the Caribbean,Americas
Honduras,honduras,HND,95,14.772988561049248,-87.47288303722436,Latin America & Caribbean,Latin America and the Caribbean,Americas
"Hong Kong SAR, China",hong_kong,HKG,96,22.35518915572244,114.15113866940766,East Asia & Pacific,Eastern Asia,Asia
Hungary,hungary,HUN,97,47.31807343694305,19.402233951979746,Europe & Central Asia,Eastern Europe,Europe
Iceland,iceland,ISL,99,64.32640295424149,-21.16996985007744,Europe & Central Asia,Northern Europe,Europe
India,india,IND,100,22.6054386437651,80.13956798598971,South Asia,Southern Asia,Asia
Indonesia,indonesia,IDN,101,-4.830386172114025,110.44017761758064,East Asia & Pacific,South-eastern Asia,Asia
Iran,iran,IRN,102,34.13800695481528,51.86885184844036,Middle East & North Africa,Southern Asia,Asia
Iraq,iraq,IRQ,103,33.638428637518146,44.60538111242754,Middle East & North Africa,Western Asia,Asia
Ireland,ireland,IRL,104,53.13127698551073,-7.388298245996286,Europe & Central Asia,Northern Europe,Europe
Isle of Man,isle_of_man,IMN,264,54.19176461310379,-4.53377791512569,Europe & Central Asia,Northern Europe,Europe
Israel,israel,ISR,105,32.12953447302809,34.98385337283139,Middle East & North Africa,Western Asia,Asia
Italy,italy,ITA,106,42.97915497650547,12.048369076424107,Europe & Central Asia,Southern Europe,Europe
Jamaica,jamaica,JAM,109,18.118472678355523,-77.1895955625672,Latin America & Caribbean,Latin America and the Caribbean,Americas
Japan,japan,JPN,110,35.57468045259118,137.14316984637497,East Asia & Pacific,Eastern Asia,Asia
Jordan,jordan,JOR,112,31.981724102931576,35.91598340694608,Middle East & North Africa,Western Asia,Asia
Kazakhstan,kazakhstan,KAZ,108,46.70675599726683,69.85850099946339,Europe & Central Asia,Central Asia,Asia
Kenya,kenya,KEN,114,-0.2989423790125213,36.7388575981151,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Kiribati,kiribati,KIR,83,1.299046559515591,145.2121970074451,East Asia & Pacific,Micronesia,Oceania
Kosovo,kosovo,XKX,-999,42.53855215215349,20.921880398445623,Europe & Central Asia,Southern Europe,Europe
Kuwait,kuwait,KWT,118,29.228566039734545,47.928438538188445,Middle East & North Africa,Western Asia,Asia
Kyrgyzstan,kyrgyzstan,KGZ,113,41.57758375194708,73.73179329964684,Europe & Central Asia,Central Asia,Asia
Lao People's Democratic Republic,lao,LAO,120,17.94311001422897,103.81048389744366,East Asia & Pacific,South-eastern Asia,Asia
Latvia,latvia,LVA,119,56.83439469254526,24.449823161776536,Europe & Central Asia,Northern Europe,Europe
Lebanon,lebanon,LBN,121,33.841617465857446,35.617968529305,Middle East & North Africa,Western Asia,Asia
Lesotho,lesotho,LSO,122,-29.45382215645881,27.96121196968275,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Liberia,liberia,LBR,123,6.486514404069446,-9.87340928969533,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Libya,libya,LBY,124,31.404735960500457,15.770688929197863,Middle East & North Africa,Northern Africa,Africa
Liechtenstein,liechtenstein,LIE,125,47.15684295923848,9.549808007363303,Europe & Central Asia,Western Europe,Europe
Lithuania,lithuania,LTU,126,55.17593434276363,23.934783423865323,Europe & Central Asia,Northern Europe,Europe
Luxembourg,luxembourg,LUX,256,49.64679228160236,6.089335322798767,Europe & Central Asia,Western Europe,Europe
