country,optimization_bound,croplands_to_croplands,croplands_to_forests_mangroves,croplands_to_forests_primary,croplands_to_forests_secondary,croplands_to_grasslands,croplands_to_other,croplands_to_settlements,croplands_to_wetlands,forests_mangroves_to_croplands,forests_mangroves_to_forests_mangroves,forests_mangroves_to_forests_primary,forests_mangroves_to_forests_secondary,forests_mangroves_to_grasslands,forests_mangroves_to_other,forests_mangroves_to_settlements,forests_mangroves_to_wetlands,forests_primary_to_croplands,forests_primary_to_forests_mangroves,forests_primary_to_forests_primary,forests_primary_to_forests_secondary,forests_primary_to_grasslands,forests_primary_to_other,forests_primary_to_settlements,forests_primary_to_wetlands,forests_secondary_to_croplands,forests_secondary_to_forests_mangroves,forests_secondary_to_forests_primary,forests_secondary_to_forests_secondary,forests_secondary_to_grasslands,forests_secondary_to_other,forests_secondary_to_settlements,forests_secondary_to_wetlands,grasslands_to_croplands,grasslands_to_forests_mangroves,grasslands_to_forests_primary,grasslands_to_forests_secondary,grasslands_to_grasslands,grasslands_to_other,grasslands_to_settlements,grasslands_to_wetlands,other_to_croplands,other_to_forests_mangroves,other_to_forests_primary,other_to_forests_secondary,other_to_grasslands,other_to_other,other_to_settlements,other_to_wetlands,settlements_to_croplands,settlements_to_forests_mangroves,settlements_to_forests_primary,settlements_to_forests_secondary,settlements_to_grasslands,settlements_to_other,settlements_to_settlements,settlements_to_wetlands,wetlands_to_croplands,wetlands_to_forests_mangroves,wetlands_to_forests_primary,wetlands_to_forests_secondary,wetlands_to_grasslands,wetlands_to_other,wetlands_to_settlements,wetlands_to_wetlands,design_quality_rank
brazil,max_diagonal,0.997334663314367,0.000419684495001759,0.0,0.0007608727098942397,0.0006750000000001415,0.0008097794807367841,0.0,0.0,0.0024974999999999373,0.9975,0.0,0.0,0.0,2.5e-06,0.0,0.0,0.0005301192433055243,0.0,0.9962161524302435,0.0,0.00198481069479281,0.0009421276613299824,9.00456452910207e-05,0.00023674432503705754,0.0061366054426710585,0.0,0.000125,0.9935505669403678,0.0,2.5e-05,0.0,0.00016282761696112148,1.4267632996962166e-05,3.294767633348353e-05,0.0,0.0009021784457983503,0.9957410557615524,0.0030758009961101354,0.0,0.00023374948720869244,0.00010044263247214476,6.920075706692933e-05,0.0,0.001581483370233012,0.0006249999999999862,0.9975,0.00012387324022787376,0.0,0.0024749999999999464,0.0,0.0,0.0,0.0,2.5e-05,0.9975,0.0,0.002474999999999947,0.0,0.0,0.0,0.0,2.5e-05,0.0,0.9975,2.0
brazil,min_diagonal,0.9574593872532589,0.0009976742286346915,0.0,0.005804161344065861,0.02624999999999999,0.00625,0.0007282517072599924,0.0025105254667806744,0.0,0.97,0.0,0.0,0.0,0.030000000000000027,0.0,0.0,0.000375,0.0,0.9961379537130783,0.0,0.0015,0.0019870462869217226,0.0,0.0,0.037950000000000046,0.0,0.004,0.95,0.00425,0.0037999999999999996,0.0,0.0,0.01288337711621405,0.0002155251143272723,0.0,0.002286790391527476,0.9773347698872007,0.00625,0.00017513996139676324,0.0008543975293338669,0.0,0.0,0.0,0.0,0.020983453891908872,0.9790165461080911,0.0,0.0,0.0,0.0,0.0,0.0,0.006200000000000009,0.0037999999999999996,0.99,0.0,0.012200000000000018,0.0,0.0,0.0,0.004,0.0037999999999999996,0.0,0.98,2.0
chile,max_diagonal,0.9843754864854344,0.0,0.0,0.00803823491470943,0.0050283438576348895,0.002557934742221475,0.0,0.0,0.00187499999999996,0.998125,0.0,0.0,0.0,0.0,0.0,0.0,0.0004537981614455553,0.0,0.998125,0.0,0.0007732079126518009,0.0006249999999999861,7.261199121538025e-06,1.5732726781078673e-05,1.3552527156068805e-20,0.0,0.04390530928440089,0.956094690715599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012499999999999734,0.998125,0.0006249999999999884,0.0,0.0,-5.421010862427522e-20,0.0,0.0,0.0029010398586274836,0.0001558151017300739,0.9961514704773249,7.59139078128049e-05,0.0007157606545047484,0.0006249999999999849,0.0,0.0,0.0012499999999999664,0.0,0.0,0.998125,0.0,0.006571939191184045,0.0,0.0,0.023593681987348927,0.0,0.0,0.0,0.9698343788214671,7.25
chile,min_diagonal,0.9381249999999999,0.0,0.0,0.0,0.0,0.06187499999999938,0.0,0.0,0.06187500000000004,0.9381249999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9943666175278013,0.0,0.0,0.005633382472198729,0.0,0.0,0.0,0.0,0.06187500000000004,0.9381249999999999,0.0,0.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,0.0,0.9381249999999999,0.06187500000000004,0.0,0.0,0.002281728543136549,0.0,0.0,0.005456701145826562,0.02165951111266677,0.9689365324551715,0.0004900746551702562,0.0011754520880283498,0.0,0.0,0.0,0.0,0.0,0.06187500000000003,0.9381249999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.06187500000000004,0.0,0.9381249999999999,5.75
colombia,max_diagonal,0.9983333333333334,0.0014235783901505865,0.0,3.600552635125918e-05,0.00020708275016417525,6.28729170199505e-16,0.0,0.0,0.0016666666666666303,0.9983333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.001123801420353656,0.0,0.9970858256874605,0.0,0.0004825981061855092,0.0005151843315984715,0.00016570584586464497,0.0006268846085372477,0.0016666666666666303,0.0,0.0,0.9983333333333334,0.0,0.0,0.0,0.0,0.0,7.109937232645407e-05,0.0,8.106600127900049e-05,0.9971657977096727,0.002682036916721881,0.0,0.0,0.0016666666666666316,0.0,0.0,0.0,0.0,0.9983333333333334,0.0,0.0,0.0008333333333333156,0.0008333333333333156,0.0,0.0,0.0,0.0,0.9983333333333334,0.0,0.0008333333333333156,0.0,0.0,0.0008333333333333165,0.0,0.0,0.0,0.9983333333333334,3.3333333333333335
colombia,min_diagonal,0.9651997826706884,0.004711974307382465,0.0,0.005736511542282462,0.0075,0.0075,0.002618466489254432,0.006733264990392254,0.0,0.9700000000000001,0.0,0.0,0.010000000000000009,0.020000000000000018,0.0,0.0,0.0,0.0,0.9970327055119982,0.0,0.0011380172466552907,0.0018292772413464485,0.0,3.614007241618348e-20,0.030000000000000044,0.0,0.0075,0.9499999999999998,0.0075,0.005,0.0,0.0,0.005472545247691299,-4.517509052022935e-21,0.0,0.0,0.9865823810188532,0.007484178759648497,0.0,0.0004608949738069759,0.0,0.0,0.0,0.0,0.13010345856750602,0.8698965414324938,0.0,0.0,0.0,0.0,0.0,0.0,0.005000000000000005,0.005,0.9899999999999999,0.0,0.007500000000000018,0.0,0.0,0.0,0.0075,0.005,0.0,0.98,3.0
costa_rica,min_diagonal,0.7941435937499999,0.0,0.0,0.0,0.20585640625000037,0.0,0.0,0.0,0.0,0.7941435937499999,0.0,0.0,0.20585640625000018,0.0,0.0,0.0,0.0,0.0,0.9994546505331543,0.0,0.0005453494668456126,0.0,0.0,0.0,0.0,0.0,0.20585640625000018,0.7941435937499999,0.0,0.0,0.0,0.0,0.10343065648788052,0.00989599894079671,0.0,0.014773662890398396,0.8338282938064074,0.027613961528861638,0.009465158487780364,0.0009922678578748634,0.0,0.0,0.0,0.0,0.20585640625000015,0.7941435937499999,0.0,0.0,0.0,0.0,0.0,0.0,0.20585640625000018,0.0,0.7941435937499999,0.0,0.0,0.0,0.0,0.0,0.20585640625000018,0.0,0.0,0.7941435937499999,12.5
dominican_republic,max_diagonal,0.9975,0.0,0.0,0.0024999999999999506,0.0,0.0,0.0,0.0,0.025541031258257525,0.9744589687417424,0.0,0.0,0.0,0.0,0.0,0.0,0.000968267413215893,0.0,0.9975,0.0,0.0015317325867840537,0.0,0.0,0.0,0.0,0.0,0.030886696893321727,0.9691133031066783,0.0,0.0,0.0,0.0,0.0,-5.421010862427522e-20,0.0,0.002499999999999939,0.9975,0.0,0.0,0.0,0.0,0.0,0.0,0.029044839716055478,0.0,0.9709551602839446,0.0,0.0,0.01194848514572492,0.0,0.0,0.01016524977799907,0.0,0.0,0.9778862650762761,0.0,0.0,0.0,0.0,0.03178564644105594,0.0,0.0,0.0,0.968214353558944,7.0
dominican_republic,min_diagonal,0.95,0.0,0.0,-2.710505431213761e-20,0.0485586169571319,0.0014413830428681418,0.0,0.0,0.050000000000000044,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.001995650413059739,0.0,0.9959124397220208,0.0,1.3198083964367241e-05,0.00016040396260113535,0.0009374531607549423,0.0009808546575990026,0.0,0.0,0.050000000000000044,0.95,0.0,0.0,0.0,0.0,0.03624928279412899,0.0003206837889955246,0.0,0.013430033416875521,0.95,0.0,0.0,0.0,0.050000000000000044,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.050000000000000044,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,0.95,5.0
ecuador,max_diagonal,0.9720937867502941,0.0,0.0,0.0,5e-05,0.027856213249705903,0.0,0.0,0.003449256929528173,0.9953007430704719,0.0,0.0,0.0,0.0012499999999999727,0.0,0.0,0.00045500437672442196,0.0,0.9956380225711312,0.0,0.0015,0.0006710123372290614,0.0011822492979566726,0.0005537114169585675,0.0012499999999999734,0.0,0.0,0.9862588659468832,0.0,0.012491134053116876,0.0,0.0,0.01233170804611376,0.0024702204408396694,0.0,0.0008709927652733119,0.9622872988258402,0.020808024657651657,0.0007298063431029641,0.000501948921178457,0.0,0.001249999999999973,0.0,-2.168404344971009e-19,0.0,0.9975,0.0012499999999999734,0.0,0.0012499999999999734,0.0012499999999999734,0.0,0.0,0.0,0.0,0.9975,0.0,0.0012499999999999734,0.0012499999999999734,0.0,0.0,0.0,0.0,0.0,0.9975,4.0
