ISO_A3,kcc,count
LKA,332.0,1201
LSO,222.0,657
LSO,321.0,84
LSO,322.0,28425
LSO,323.0,3128
LSO,332.0,7611
LSO,333.0,25
LSO,510.0,439
LTU,332.0,1447
LTU,432.0,130806
LUX,332.0,4684
LVA,332.0,582
LVA,432.0,136105
MAC,321.0,34
MAF,120.0,82
MAR,211.0,171242
MAR,212.0,27677
MAR,221.0,65433
MAR,222.0,103712
MAR,311.0,171051
MAR,312.0,27978
MAR,331.0,2
MAR,412.0,925
MAR,413.0,104
MAR,432.0,9
MAR,433.0,14
MCO,311.0,18
MCO,312.0,12
MDA,331.0,15384
MDA,332.0,7761
MDA,431.0,6
MDA,432.0,33604
MDG,110.0,58838
MDG,120.0,325240
MDG,130.0,28687
MDG,211.0,493
MDG,221.0,92262
MDG,321.0,109273
MDG,322.0,72842
MDG,331.0,38200
MDG,332.0,7928
MDV,110.0,9
MDV,120.0,22
MDV,130.0,24
MEX,110.0,32890
MEX,120.0,501853
MEX,130.0,91220
MEX,211.0,462589
MEX,212.0,85605
MEX,221.0,476872
MEX,222.0,321906
MEX,311.0,4293
MEX,312.0,5960
MEX,321.0,172424
MEX,322.0,295051
MEX,323.0,526
MEX,331.0,28133
MEX,332.0,24384
MEX,333.0,84
MEX,510.0,770
MEX,520.0,1
MHL,110.0,66
MHL,120.0,5
MHL,130.0,1
MKD,331.0,12215
MKD,332.0,23127
MKD,432.0,3099
MKD,433.0,1023
MKD,510.0,18
MLI,120.0,282110
MLI,211.0,1035234
MLI,221.0,218637
MLT,311.0,470
MMR,120.0,254307
MMR,130.0,164901
MMR,221.0,17847
MMR,321.0,329948
MMR,322.0,62491
MMR,323.0,521
MMR,423.0,444
MMR,510.0,1366
MNE,311.0,1112
MNE,331.0,2565
MNE,332.0,12273
MNE,432.0,4711
MNE,433.0,1071
MNE,510.0,1
MNG,212.0,1028233
MNG,222.0,883815
MNG,422.0,110804
MNG,423.0,583321
MNG,432.0,1500
MNG,433.0,1057
MNG,510.0,49592
MNP,110.0,439
MNP,120.0,5
MNP,130.0,156
MOZ,120.0,651818
MOZ,130.0,27
MOZ,211.0,6321
MOZ,221.0,235396
MOZ,321.0,67985
MOZ,322.0,4723
MOZ,331.0,538
MRT,211.0,1270757
MRT,221.0,21107
MUS,110.0,16
MUS,120.0,468
MUS,130.0,1593
MUS,331.0,400
MWI,120.0,77195
MWI,221.0,1321
MWI,321.0,54003
MWI,322.0,10927
MYS,110.0,376882
MYS,130.0,3849
MYS,332.0,2364
MYS,333.0,7
MYS,510.0,11
NAM,211.0,485634
NAM,212.0,133707
NAM,221.0,416998
NAM,222.0,2037
NCL,110.0,8118
NCL,120.0,4722
NCL,130.0,6480
NCL,331.0,3101
NCL,332.0,1038
NER,120.0,10059
NER,211.0,1263245
NER,221.0,174909
NGA,110.0,2015
NGA,120.0,848988
NGA,130.0,72237
NGA,211.0,9960
NGA,221.0,142259
NGA,312.0,50
NGA,322.0,169
NIC,110.0,11429
NIC,120.0,61530
NIC,130.0,80550
NIC,312.0,10
NIC,322.0,481
NIC,332.0,211
NLD,120.0,19
NLD,120.0,7
NLD,130.0,3
NLD,130.0,3
NLD,221.0,321
NLD,332.0,66882
NOR,332.0,87278
NOR,333.0,48285
NOR,413.0,1
NOR,432.0,35309
NOR,433.0,472329
NOR,510.0,567869
NOR,520.0,5935
NPL,212.0,22
NPL,221.0,2
NPL,222.0,466
NPL,321.0,101331
NPL,322.0,50166
NPL,323.0,5375
NPL,422.0,5
NPL,423.0,986
NPL,510.0,35371
NPL,520.0,1086
NRU,110.0,34
NZL,110.0,3
NZL,331.0,20
NZL,332.0,356867
NZL,333.0,39931
NZL,510.0,17501
OMN,211.0,386217
OMN,212.0,492
OMN,221.0,33
OMN,222.0,985
PAK,211.0,763540
PAK,212.0,32339
PAK,221.0,104367
PAK,222.0,68530
PAK,311.0,24848
PAK,312.0,1681
PAK,321.0,21829
PAK,322.0,13
PAK,331.0,31031
PAK,332.0,7572
PAK,411.0,98
PAK,412.0,16073
PAK,413.0,28836
PAK,423.0,330
PAK,432.0,7617
PAK,433.0,6589
PAK,510.0,60028
PAK,520.0,1014
PAN,110.0,12304
PAN,120.0,24878
PAN,130.0,47887
PAN,312.0,2
PAN,322.0,133
PAN,332.0,2476
PAN,333.0,5
PAN,510.0,34
PER,110.0,641515
PER,120.0,48406
PER,130.0,163900
PER,211.0,121521
PER,212.0,74269
PER,221.0,11152
PER,222.0,29154
PER,312.0,62
PER,322.0,69415
PER,323.0,9146
PER,332.0,88562
PER,333.0,2166
PER,510.0,272088
PER,520.0,493
PHL,110.0,219999
PHL,120.0,16272
PHL,130.0,104860
PHL,322.0,1554
PHL,332.0,4973
PLW,110.0,517
PNG,110.0,410558
PNG,120.0,11697
PNG,130.0,43438
PNG,332.0,78246
PNG,333.0,226
PNG,510.0,634
POL,332.0,193609
POL,432.0,396822
POL,433.0,1346
POL,510.0,94
PRI,110.0,7285
PRI,120.0,1948
PRI,130.0,1681
PRI,332.0,107
PRK,321.0,2065
PRK,331.0,56
PRK,421.0,80655
PRK,422.0,80895
PRK,423.0,21524
PRK,431.0,814
PRK,432.0,186
PRK,510.0,1
PRT,221.0,41
PRT,222.0,2
PRT,311.0,82864
PRT,312.0,51255
PRT,331.0,651
PRT,332.0,2830
PRT,333.0,7
PRY,110.0,291
PRY,120.0,159640
PRY,130.0,7202
PRY,221.0,158852
PRY,321.0,883
PRY,331.0,181499
PYF,110.0,3155
PYF,120.0,72
PYF,130.0,129
PYF,331.0,20
PYF,332.0,25
QAT,211.0,14340
ROU,222.0,3582
ROU,331.0,124165
ROU,332.0,101025
ROU,432.0,155745
ROU,433.0,9462
ROU,510.0,376
RUS,212.0,3323
RUS,222.0,247523
RUS,311.0,23
RUS,331.0,225501
RUS,332.0,52778
RUS,333.0,211
RUS,413.0,67664
RUS,421.0,1169
RUS,422.0,777143
RUS,423.0,3095871
RUS,424.0,728892
RUS,431.0,601889
RUS,432.0,6242557
RUS,433.0,21197927
RUS,434.0,2884389
RUS,510.0,5780899
RUS,520.0,133937
RWA,120.0,20241
RWA,312.0,8144
RWA,322.0,22
RWA,332.0,1169
RWA,333.0,10
RWA,510.0,42
SAU,211.0,2450653
SAU,212.0,10799
SAU,222.0,725
SDN,120.0,245063
SDN,211.0,1587180
SDN,212.0,97
SDN,221.0,413143
SDN,222.0,41
SDN,321.0,2411
SDN,322.0,441
SEN,120.0,109527
SEN,211.0,27212
SEN,221.0,99984
SGP,110.0,598
SLB,110.0,31392
SLB,332.0,146
SLE,120.0,16281
SLE,130.0,68133
SLE,322.0,11
SLV,120.0,24340
SLV,322.0,370
SMR,331.0,98
SOM,120.0,136
SOM,211.0,504839
SOM,212.0,215
SOM,221.0,244340
SOM,222.0,1782
SRB,331.0,48602
SRB,332.0,69106
SRB,432.0,8000
SRB,433.0,130
SSD,120.0,700349
SSD,221.0,40470
SSD,311.0,5
SSD,312.0,969
SSD,332.0,18
STP,120.0,445
STP,130.0,643
STP,221.0,2
STP,322.0,107
SUR,110.0,73182
SUR,120.0,405
SUR,130.0,96192
SVK,332.0,32202
SVK,432.0,49581
SVK,433.0,3168
SVK,510.0,332
SVN,331.0,2254
SVN,332.0,25924
SVN,432.0,4635
SVN,433.0,1196
SVN,510.0,59
SWE,332.0,206885
SWE,432.0,166118
SWE,433.0,712142
SWE,510.0,45591
SWZ,120.0,25
SWZ,221.0,8814
SWZ,321.0,2994
SWZ,322.0,5419
SWZ,331.0,2873
SWZ,332.0,2213
SXM,120.0,28
SYC,110.0,314
SYC,120.0,138
SYR,211.0,99307
SYR,212.0,28328
SYR,221.0,55751
SYR,222.0,39882
SYR,311.0,40252
SYR,312.0,2781
SYR,412.0,4
TCA,120.0,497
TCA,221.0,47
TCD,120.0,345120
TCD,211.0,990120
TCD,212.0,13005
TCD,221.0,189028
TGO,120.0,67103
TGO,130.0,94
THA,110.0,15330
THA,120.0,507217
