waste_var_calib,sum_group,sum_restriction_by_group,var_in_01_interval,parameter_constant_q,Fixed Parameter,Calibration,Calibration_in_integrated_only,Parameter That Needs Better Starting Value Before Calibration,Historical Data ,Historical Data for Initial Time Period Future Projections,Output from other Models,Fixed in Calibration (future lever),Notes
ef_waso_incineration_tonne_n2o_per_tonne_chemical_industrial,,,,,,1,,,,,,,
ef_waso_incineration_tonne_n2o_per_tonne_food,,,,,,1,,,,,,,
ef_waso_incineration_tonne_n2o_per_tonne_glass,,,,,,1,,,,,,,
ef_waso_incineration_tonne_n2o_per_tonne_metal,,,,,,1,,,,,,,
ef_waso_incineration_tonne_n2o_per_tonne_nappies,,,,,,1,,,,,,,
ef_waso_incineration_tonne_n2o_per_tonne_other,,,,,,1,,,,,,,
ef_waso_incineration_tonne_n2o_per_tonne_paper,,,,,,1,,,,,,,
ef_waso_incineration_tonne_n2o_per_tonne_plastic,,,,,,1,,,,,,,
ef_waso_incineration_tonne_n2o_per_tonne_rubber_leather,,,,,,1,,,,,,,
ef_waso_incineration_tonne_n2o_per_tonne_sludge,,,,,,1,,,,,,,
ef_waso_incineration_tonne_n2o_per_tonne_textiles,,,,,,1,,,,,,,
ef_waso_incineration_tonne_n2o_per_tonne_wood,,,,,,1,,,,,,,
ef_waso_incineration_tonne_n2o_per_tonne_yard,,,,,,1,,,,,,,
factor_waso_waste_per_capita_scalar_chemical_industrial,,,1,,,,,,,,,1,
factor_waso_waste_per_capita_scalar_food,,,1,,,,,,,,,1,
factor_waso_waste_per_capita_scalar_glass,,,1,,,,,,,,,1,
factor_waso_waste_per_capita_scalar_metal,,,1,,,,,,,,,1,
factor_waso_waste_per_capita_scalar_nappies,,,1,,,,,,,,,1,
factor_waso_waste_per_capita_scalar_other,,,1,,,,,,,,,1,
factor_waso_waste_per_capita_scalar_paper,,,1,,,,,,,,,1,
factor_waso_waste_per_capita_scalar_plastic,,,1,,,,,,,,,1,
factor_waso_waste_per_capita_scalar_rubber_leather,,,1,,,,,,,,,1,
factor_waso_waste_per_capita_scalar_sludge,,,1,,,,,,,,,1,
factor_waso_waste_per_capita_scalar_textiles,,,1,,,,,,,,,1,
factor_waso_waste_per_capita_scalar_wood,,,1,,,,,,,,,1,
factor_waso_waste_per_capita_scalar_yard,,,1,,,,,,,,,1,
vkmt_per_vehicle_waso,,,,,,,1,,,,,,Incomplete
oxf_waso_average_landfilled,,,,1,1,,,,,,,,
qty_waso_initial_municipal_waste_tonne_per_capita,,,,,,,,,,1,,,
ef_waso_compost_kg_ch4_per_kg_food,,,,,,1,,,,,,,
ef_waso_compost_kg_ch4_per_kg_yard,,,,,,1,,,,,,,
frac_waso_non_recycled_open_dump,,,1,,,,,,,1,,,
frac_waso_compost_food,5,<=1,1,,,,,,,1,,,
frac_waso_compost_yard,6,<=1,1,,,,,,,1,,,
qty_waso_industrial_waste_kt_per_mmm_gdp,,,,,,,,1,,,,,
mcf_waso_average_landfilled,,,1,,,1,,,,,,,
frac_waso_lgc_recovered_for_energy,,,1,,,,,1,,,,,
mcf_waso_average_open_dump,,,1,,,1,,,,,,,
frac_waso_non_recycled_landfilled,,,1,,,,,,,1,,,
frac_waso_recycled_glass,,,1,,,,,,,1,,,
frac_waso_recycled_metal,,,1,,,,,,,1,,,
frac_waso_recycled_paper,,,1,,,,,,,1,,,
frac_waso_recycled_plastic,,,1,,,,,,,1,,,
frac_waso_recycled_rubber_leather,,,1,,,,,,,1,,,
frac_waso_recycled_textiles,,,1,,,,,,,1,,,
frac_waso_recycled_wood,,,1,,,,,,,1,,,
frac_waso_compost_methane_flared,,,1,,,1,,,,,,,
frac_waso_landfill_gas_recovered,,,1,,,1,,,,,,,
ef_waso_compost_kg_n2o_per_kg_food,,,,,,1,,,,,,,
ef_waso_compost_kg_n2o_per_kg_yard,,,,,,1,,,,,,,
qty_waso_annual_waste_collected_tonne_per_vehicle,,,,,,1,,,,,,,Incomplete
ef_waso_incineration_kg_ch4_per_kg_msw,,,,,,1,,,,,,,
historical_back_projection_growth_rate,,,1,,,1,,,,,,,
gasrf_waso_landfill_to_ch4,,,1,,,,1,,,,,,
ef_waso_incineration_kg_ch4_per_kg_isw,,,,,,1,,,,,,,
frac_waso_isw_incinerated_recovered_for_energy,,,1,,,,1,,,,,,
gasrf_waso_biogass,,,1,,,,1,,,,,,
frac_waso_biogas_food,5,<=1,1,,,,,,,1,,,
frac_waso_biogas_yard,6,<=1,1,,,,,,,1,,,
frac_waso_msw_incinerated_recovered_for_energy,,,1,,,,1,,,,,,
ef_waso_biogas_kg_ch4_per_kg_food,,,,,,1,,,,,,,
ef_waso_biogas_kg_ch4_per_kg_yard,,,,,,1,,,,,,,
frac_waso_non_recycled_incinerated,,,1,,,,,,,1,,,
