Variable Type,Variable,Information,Variable Schema,Dashboard,Categories,Notes,Data Link,Reference,Emission Factor,Internal Model Variable,Default LHS Scalar Minimum at Final Time Period,Default LHS Scalar Maximum at Final Time Period,Emissions Total by Gas Component,Simplex Group
Output,:math:`\text{CO}_2` Emissions from Industrial Production Processes,,``emission_co2e_$EMISSION-GAS$_ippu_production_$CAT-INDUSTRY$`` (``$EMISSION-GAS$ = co2``),,``cement``|``chemicals``|``glass``|``lime_and_carbonite``|``metals``|``paper``|``plastic``|``product_use_lubricants``|``product_use_paraffin_wax``,,,,0,1,1,1,1,
Output,:math:`\text{N}_2\text{O}` Emissions from Industrial Production Processes,,``emission_co2e_$EMISSION-GAS$_ippu_production_$CAT-INDUSTRY$`` (``$EMISSION-GAS$ = n2o``),,``chemicals``|``other_product_manufacturing``|``paper``|``plastic``,,,,0,1,1,1,1,
Output,:math:`\text{NF}_3` Emissions from Industrial Production Processes," | Used in calibration to key industrial subsectors using data from `Minx et al. (2021) <https://doi.org/10.5194/essd-13-5213-2021>`_
 | 
 | Note: Also accounted for in Other Fluorinated Compounds aggregate output emissions.",``emission_co2e_$EMISSION-GAS$_ippu_production_$CAT-INDUSTRY$`` (``$EMISSION-GAS$ = nf3``),,``chemicals``|``electronics``,,,,0,1,1,1,1,
Output,:math:`\text{SF}_6` Emissions from Industrial Production Processes,,``emission_co2e_$EMISSION-GAS$_ippu_production_$CAT-INDUSTRY$`` (``$EMISSION-GAS$ = sf6``),,``chemicals``|``electronics``|``metals``|``other_product_manufacturing``,,,,0,1,1,1,1,
Output,Change to Net Imports of Products,"Recycling volumes may exceed domestic demand, and some changes to indsutrial production can affect projections. Decreases (negative values) to this variable represent exports of materials produced in each country. ",``net_imports_change_ippu_$CAT-INDUSTRY$_$UNIT-MASS$`` (``$UNIT-MASS$ = tonne``),,``cement``|``recycled_glass``|``recycled_metals``|``recycled_paper``|``recycled_plastic``|``recycled_rubber_and_leather``|``recycled_textiles``|``recycled_wood``|``wood``,,,,0,1,1,1,0,
Output,Demand for Harvested Wood,,``dem_ippu_harvested_wood_$UNIT-MASS$_$CAT-INDUSTRY$`` (``$UNIT-MASS$ = tonne``),,``paper``|``wood``,,,,0,1,1,1,0,
Output,Dodecafluoropentane Emissions from Industrial Production Processes,""" | Used in calibration to key industrial subsectors using data from `Minx et al. (2021) <https://doi.org/10.5194/essd-13-5213-2021>`_
 | 
 | Note: Also accounted for in Other Fluorinated Compounds aggregate output emissions.""",``emission_co2e_$EMISSION-GAS$_ippu_production_$CAT-INDUSTRY$`` (``$EMISSION-GAS$ = c5f12``),,``chemicals``,,,,0,0,1,1,1,
Output,HCFC-141b Emissions from Industrial Product Use, | Used in calibration to key industrial subsectors using data from `Minx et al. (2021) <https://doi.org/10.5194/essd-13-5213-2021>`_,``emission_co2e_$EMISSION-GAS$_ippu_product_use_$CAT-INDUSTRY$`` (``$EMISSION-GAS$ = ch3cci2f``),,``product_use_ods_other``,,,,0,1,1,1,1,
Output,HCFC-142b Emissions from Industrial Product Use, | Used in calibration to key industrial subsectors using data from `Minx et al. (2021) <https://doi.org/10.5194/essd-13-5213-2021>`_,``emission_co2e_$EMISSION-GAS$_ippu_product_use_$CAT-INDUSTRY$`` (``$EMISSION-GAS$ = ch3ccif2``),,``product_use_ods_other``,,,,0,1,1,1,1,
Output,HFC Emissions from Industrial Product Use,"Aggregate emissions, across all specified HFCs, resulting from product use in industry.",``emission_co2e_hfcs_ippu_product_use_$CAT-INDUSTRY$``,,``product_use_ods_refrigeration``|``product_use_ods_other``,,,,0,1,1,1,0,
Output,HFC Emissions from Industrial Production Processes,"Aggregate emissions, across all specified HFCs, resulting from industrial production processes. ",``emission_co2e_hfcs_ippu_production_$CAT-INDUSTRY$``,,``chemicals``|``electronics``|``metals``,,,,0,1,1,1,0,
Output,HFC-125 Emissions from Industrial Product Use, | Used in calibration to key industrial subsectors using data from `Minx et al. (2021) <https://doi.org/10.5194/essd-13-5213-2021>`_,``emission_co2e_$EMISSION-GAS$_ippu_product_use_$CAT-INDUSTRY$`` (``$EMISSION-GAS$ = c2hf5``),,``product_use_ods_refrigeration``|``product_use_ods_other``,,,,0,1,1,1,1,
Output,HFC-125 Emissions from Industrial Production Processes, | Used in calibration to key industrial subsectors using data from `Minx et al. (2021) <https://doi.org/10.5194/essd-13-5213-2021>`_,``emission_co2e_$EMISSION-GAS$_ippu_production_$CAT-INDUSTRY$`` (``$EMISSION-GAS$ = c2hf5``),,``chemicals``,,,,0,0,1,1,1,
Output,HFC-134 Emissions from Industrial Product Use, | Used in calibration to key industrial subsectors using data from `Minx et al. (2021) <https://doi.org/10.5194/essd-13-5213-2021>`_,``emission_co2e_$EMISSION-GAS$_ippu_product_use_$CAT-INDUSTRY$`` (``$EMISSION-GAS$ = chf2chf2``),,``product_use_ods_other``,,,,0,1,1,1,1,
Output,HFC-134a Emissions from Industrial Product Use, | Used in calibration to key industrial subsectors using data from `Minx et al. (2021) <https://doi.org/10.5194/essd-13-5213-2021>`_,``emission_co2e_$EMISSION-GAS$_ippu_product_use_$CAT-INDUSTRY$`` (``$EMISSION-GAS$ = chf2cf3``),,``product_use_ods_refrigeration``|``product_use_ods_other``,,,,0,1,1,1,1,
Output,HFC-134a Emissions from Industrial Production Processes, | Used in calibration to key industrial subsectors using data from `Minx et al. (2021) <https://doi.org/10.5194/essd-13-5213-2021>`_,``emission_co2e_$EMISSION-GAS$_ippu_production_$CAT-INDUSTRY$`` (``$EMISSION-GAS$ = chf2cf3``),,``chemicals``,,,,0,0,1,1,1,
Output,HFC-143 Emissions from Industrial Product Use, | Used in calibration to key industrial subsectors using data from `Minx et al. (2021) <https://doi.org/10.5194/essd-13-5213-2021>`_,``emission_co2e_$EMISSION-GAS$_ippu_product_use_$CAT-INDUSTRY$`` (``$EMISSION-GAS$ = ch2fchf2``),,``product_use_ods_other``,,,,0,1,1,1,1,
Output,HFC-143a Emissions from Industrial Product Use, | Used in calibration to key industrial subsectors using data from `Minx et al. (2021) <https://doi.org/10.5194/essd-13-5213-2021>`_,``emission_co2e_$EMISSION-GAS$_ippu_product_use_$CAT-INDUSTRY$`` (``$EMISSION-GAS$ = c2h3f3``),,``product_use_ods_refrigeration``,,,,0,1,1,1,1,
Output,HFC-143a Emissions from Industrial Production Processes, | Used in calibration to key industrial subsectors using data from `Minx et al. (2021) <https://doi.org/10.5194/essd-13-5213-2021>`_,``emission_co2e_$EMISSION-GAS$_ippu_production_$CAT-INDUSTRY$`` (``$EMISSION-GAS$ = c2h3f3``),,``chemicals``,,,,0,0,1,1,1,
Output,HFC-152a Emissions from Industrial Product Use, | Used in calibration to key industrial subsectors using data from `Minx et al. (2021) <https://doi.org/10.5194/essd-13-5213-2021>`_,``emission_co2e_$EMISSION-GAS$_ippu_product_use_$CAT-INDUSTRY$`` (``$EMISSION-GAS$ = ch3chf2``),,``product_use_ods_refrigeration``|``product_use_ods_other``,,,,0,1,1,1,1,
Output,HFC-152a Emissions from Industrial Production Processes, | Used in calibration to key industrial subsectors using data from `Minx et al. (2021) <https://doi.org/10.5194/essd-13-5213-2021>`_,``emission_co2e_$EMISSION-GAS$_ippu_production_$CAT-INDUSTRY$`` (``$EMISSION-GAS$ = ch3chf2``),,``chemicals``,,,,0,0,1,1,1,
Output,HFC-227ea Emissions from Industrial Product Use, | Used in calibration to key industrial subsectors using data from `Minx et al. (2021) <https://doi.org/10.5194/essd-13-5213-2021>`_,``emission_co2e_$EMISSION-GAS$_ippu_product_use_$CAT-INDUSTRY$`` (``$EMISSION-GAS$ = c3hf7``),,``product_use_ods_refrigeration``|``product_use_ods_other``,,,,0,1,1,1,1,
Output,HFC-227ea Emissions from Industrial Production Processes, | Used in calibration to key industrial subsectors using data from `Minx et al. (2021) <https://doi.org/10.5194/essd-13-5213-2021>`_,``emission_co2e_$EMISSION-GAS$_ippu_production_$CAT-INDUSTRY$`` (``$EMISSION-GAS$ = c3hf7``),,``chemicals``,,,,0,0,1,1,1,
Output,HFC-23 Emissions from Industrial Product Use, | Used in calibration to key industrial subsectors using data from `Minx et al. (2021) <https://doi.org/10.5194/essd-13-5213-2021>`_,``emission_co2e_$EMISSION-GAS$_ippu_product_use_$CAT-INDUSTRY$`` (``$EMISSION-GAS$ = chf3``),,``product_use_ods_refrigeration``|``product_use_ods_other``,,,,0,1,1,1,1,
Output,HFC-23 Emissions from Industrial Production Processes, | Used in calibration to key industrial subsectors using data from `Minx et al. (2021) <https://doi.org/10.5194/essd-13-5213-2021>`_,``emission_co2e_$EMISSION-GAS$_ippu_production_$CAT-INDUSTRY$`` (``$EMISSION-GAS$ = chf3``),,``chemicals``|``electronics``,,,,0,1,1,1,1,
Output,HFC-236fa Emissions from Industrial Product Use, | Used in calibration to key industrial subsectors using data from `Minx et al. (2021) <https://doi.org/10.5194/essd-13-5213-2021>`_,``emission_co2e_$EMISSION-GAS$_ippu_product_use_$CAT-INDUSTRY$`` (``$EMISSION-GAS$ = c3h2f6``),,``product_use_ods_refrigeration``|``product_use_ods_other``,,,,0,1,1,1,1,
Output,HFC-245fa Emissions from Industrial Product Use, | Used in calibration to key industrial subsectors using data from `Minx et al. (2021) <https://doi.org/10.5194/essd-13-5213-2021>`_,``emission_co2e_$EMISSION-GAS$_ippu_product_use_$CAT-INDUSTRY$`` (``$EMISSION-GAS$ = c3h3f5``),,``product_use_ods_refrigeration``|``product_use_ods_other``,,,,0,1,1,1,1,
Output,HFC-32 Emissions from Industrial Product Use, | Used in calibration to key industrial subsectors using data from `Minx et al. (2021) <https://doi.org/10.5194/essd-13-5213-2021>`_,``emission_co2e_$EMISSION-GAS$_ippu_product_use_$CAT-INDUSTRY$`` (``$EMISSION-GAS$ = ch2f2``),,``product_use_ods_refrigeration``,,,,0,1,1,1,1,
Output,HFC-32 Emissions from Industrial Production Processes, | Used in calibration to key industrial subsectors using data from `Minx et al. (2021) <https://doi.org/10.5194/essd-13-5213-2021>`_,``emission_co2e_$EMISSION-GAS$_ippu_production_$CAT-INDUSTRY$`` (``$EMISSION-GAS$ = ch2f2``),,``chemicals``|``electronics``,,,,0,1,1,1,1,
Output,HFC-365mfc Emissions from Industrial Product Use, | Used in calibration to key industrial subsectors using data from `Minx et al. (2021) <https://doi.org/10.5194/essd-13-5213-2021>`_,``emission_co2e_$EMISSION-GAS$_ippu_product_use_$CAT-INDUSTRY$`` (``$EMISSION-GAS$ = c4h5f5``),,``product_use_ods_other``,,,,0,1,1,1,1,
Output,HFC-365mfc Emissions from Industrial Production Processes, | Used in calibration to key industrial subsectors using data from `Minx et al. (2021) <https://doi.org/10.5194/essd-13-5213-2021>`_,``emission_co2e_$EMISSION-GAS$_ippu_production_$CAT-INDUSTRY$`` (``$EMISSION-GAS$ = c4h5f5``),,``chemicals``,,,,0,0,1,1,1,
Output,HFC-41 Emissions from Industrial Production Processes, | Used in calibration to key industrial subsectors using data from `Minx et al. (2021) <https://doi.org/10.5194/essd-13-5213-2021>`_,``emission_co2e_$EMISSION-GAS$_ippu_production_$CAT-INDUSTRY$`` (``$EMISSION-GAS$ = ch3f``),,``electronics``,,,,0,0,1,1,1,
Output,HFC-43-10mee Emissions from Industrial Product Use, | Used in calibration to key industrial subsectors using data from `Minx et al. (2021) <https://doi.org/10.5194/essd-13-5213-2021>`_,``emission_co2e_$EMISSION-GAS$_ippu_product_use_$CAT-INDUSTRY$`` (``$EMISSION-GAS$ = c5h2f10``),,``product_use_ods_other``,,,,0,1,1,1,1,
Output,Industrial Production," | Production at :math:`t = 0` of an industrial category, in tonnes. Future production is elastic to GDP and is modified by an exogenous scalar (representing changes to industry). 
 | 
 | Note that production of recycled categories (``recycled_XXX``) differ from total waste recycled. In the Industrial model, recycled materials are used until the maximum recycling fraction is obtained.",``prod_ippu_$CAT-INDUSTRY$_$UNIT-MASS$`` (``$UNIT-MASS$ = tonne``),,``cement``|``chemicals``|``electronics``|``glass``|``lime_and_carbonite``|``metals``|``mining``|``paper``|``plastic``|``rubber_and_leather``|``textiles``|``wood``,,,,0,1,1,1,0,
