r,l,pp_hydropower,pp_solar,pp_biogas,pp_biomass,pp_coal,pp_gas,pp_geothermal,pp_nuclear,pp_ocean,pp_oil,pp_waste_incineration,pp_wind
argentina,dec_feb_we12,0.3779035855145247,0.5163662011119075,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
argentina,dec_feb_we18,0.3779035855145247,0.21515258379662813,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
argentina,dec_feb_we6,0.3779035855145247,0.1475332003176879,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
argentina,jun_aug_wd0,0.42378711195312513,0.0,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
argentina,jun_aug_wd12,0.42378711195312513,0.5619564134599367,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
argentina,jun_aug_wd18,0.42378711195312513,0.05175914334499416,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
argentina,jun_aug_wd6,0.42378711195312513,0.029576653339996678,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
argentina,jun_aug_we0,0.42378711195312513,0.0,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
argentina,jun_aug_we12,0.42378711195312513,0.5619564134599367,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
argentina,jun_aug_we18,0.42378711195312513,0.05175914334499416,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
argentina,jun_aug_we6,0.42378711195312513,0.029576653339996678,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
argentina,mar_may_wd0,0.35186887350738444,0.0,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
argentina,mar_may_wd12,0.35186887350738444,0.5765908128856364,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
argentina,mar_may_wd18,0.35186887350738444,0.04922116695365187,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
argentina,mar_may_wd6,0.35186887350738444,0.08437914334911754,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
argentina,mar_may_we0,0.35186887350738444,0.0,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
argentina,mar_may_we12,0.35186887350738444,0.5765908128856364,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
argentina,mar_may_we18,0.35186887350738444,0.04922116695365187,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
