time_period,ef_frst_sequestration_mangroves_kt_co2_ha,ef_frst_sequestration_primary_kt_co2_ha,ef_frst_sequestration_secondary_kt_co2_ha,iso_alpha_3
34,3.5558766370933674e-05,6.536216730038022e-05,0.012731616444866919,KWT
35,3.5558766370933674e-05,6.536216730038022e-05,0.012731616444866919,KWT
0,0.002083704775924109,0.0009423693163231927,0.0026543455184821715,LBR
1,0.002083704775924109,0.0009423693163231927,0.0026543455184821715,LBR
2,0.002083704775924109,0.0009423693163231927,0.0026543455184821715,LBR
3,0.002083704775924109,0.0009423693163231927,0.0026543455184821715,LBR
4,0.002083704775924109,0.0009423693163231927,0.0026543455184821715,LBR
5,0.002083704775924109,0.0009423693163231927,0.0026543455184821715,LBR
6,0.002083704775924109,0.0009423693163231927,0.0026543455184821715,LBR
7,0.002083704775924109,0.0009423693163231927,0.0026543455184821715,LBR
8,0.002083704775924109,0.0009423693163231927,0.0026543455184821715,LBR
9,0.002083704775924109,0.0009423693163231927,0.0026543455184821715,LBR
10,0.002083704775924109,0.0009423693163231927,0.0026543455184821715,LBR
11,0.002083704775924109,0.0009423693163231927,0.0026543455184821715,LBR
12,0.002083704775924109,0.0009423693163231927,0.0026543455184821715,LBR
13,0.002083704775924109,0.0009423693163231927,0.0026543455184821715,LBR
14,0.002083704775924109,0.0009423693163231927,0.0026543455184821715,LBR
15,0.002083704775924109,0.0009423693163231927,0.0026543455184821715,LBR
16,0.002083704775924109,0.0009423693163231927,0.0026543455184821715,LBR
17,0.002083704775924109,0.0009423693163231927,0.0026543455184821715,LBR
18,0.002083704775924109,0.0009423693163231927,0.0026543455184821715,LBR
19,0.002083704775924109,0.0009423693163231927,0.0026543455184821715,LBR
20,0.002083704775924109,0.0009423693163231927,0.0026543455184821715,LBR
21,0.002083704775924109,0.0009423693163231927,0.0026543455184821715,LBR
22,0.002083704775924109,0.0009423693163231927,0.0026543455184821715,LBR
23,0.002083704775924109,0.0009423693163231927,0.0026543455184821715,LBR
24,0.002083704775924109,0.0009423693163231927,0.0026543455184821715,LBR
25,0.002083704775924109,0.0009423693163231927,0.0026543455184821715,LBR
26,0.002083704775924109,0.0009423693163231927,0.0026543455184821715,LBR
27,0.002083704775924109,0.0009423693163231927,0.0026543455184821715,LBR
28,0.002083704775924109,0.0009423693163231927,0.0026543455184821715,LBR
29,0.002083704775924109,0.0009423693163231927,0.0026543455184821715,LBR
30,0.002083704775924109,0.0009423693163231927,0.0026543455184821715,LBR
31,0.002083704775924109,0.0009423693163231927,0.0026543455184821715,LBR
32,0.002083704775924109,0.0009423693163231927,0.0026543455184821715,LBR
33,0.002083704775924109,0.0009423693163231927,0.0026543455184821715,LBR
34,0.002083704775924109,0.0009423693163231927,0.0026543455184821715,LBR
35,0.002083704775924109,0.0009423693163231927,0.0026543455184821715,LBR
0,0.0034614289261328366,0.001711780260707635,0.004336253258845437,LCA
1,0.0034614289261328366,0.001711780260707635,0.004336253258845437,LCA
2,0.0034614289261328366,0.001711780260707635,0.004336253258845437,LCA
3,0.0034614289261328366,0.001711780260707635,0.004336253258845437,LCA
4,0.0034614289261328366,0.001711780260707635,0.004336253258845437,LCA
5,0.0034614289261328366,0.001711780260707635,0.004336253258845437,LCA
6,0.0034614289261328366,0.001711780260707635,0.004336253258845437,LCA
7,0.0034614289261328366,0.001711780260707635,0.004336253258845437,LCA
8,0.0034614289261328366,0.001711780260707635,0.004336253258845437,LCA
9,0.0034614289261328366,0.001711780260707635,0.004336253258845437,LCA
10,0.0034614289261328366,0.001711780260707635,0.004336253258845437,LCA
11,0.0034614289261328366,0.001711780260707635,0.004336253258845437,LCA
12,0.0034614289261328366,0.001711780260707635,0.004336253258845437,LCA
13,0.0034614289261328366,0.001711780260707635,0.004336253258845437,LCA
14,0.0034614289261328366,0.001711780260707635,0.004336253258845437,LCA
15,0.0034614289261328366,0.001711780260707635,0.004336253258845437,LCA
16,0.0034614289261328366,0.001711780260707635,0.004336253258845437,LCA
17,0.0034614289261328366,0.001711780260707635,0.004336253258845437,LCA
18,0.0034614289261328366,0.001711780260707635,0.004336253258845437,LCA
19,0.0034614289261328366,0.001711780260707635,0.004336253258845437,LCA
20,0.0034614289261328366,0.001711780260707635,0.004336253258845437,LCA
