iso_code3,year,time_period,frac_enfu_transmission_loss_fuel_electricity
AND,2025,10,0.0636041899657905
AND,2026,11,0.0636041899657905
AND,2027,12,0.0636041899657905
AND,2028,13,0.0636041899657905
AND,2029,14,0.0636041899657905
AND,2030,15,0.0636041899657905
AND,2031,16,0.0636041899657905
AND,2032,17,0.0636041899657905
AND,2033,18,0.0636041899657905
AND,2034,19,0.0636041899657905
AND,2035,20,0.0636041899657905
AND,2036,21,0.0636041899657905
AND,2037,22,0.0636041899657905
AND,2038,23,0.0636041899657905
AND,2039,24,0.0636041899657905
AND,2040,25,0.0636041899657905
AND,2041,26,0.0636041899657905
AND,2042,27,0.0636041899657905
AND,2043,28,0.0636041899657905
AND,2044,29,0.0636041899657905
AND,2045,30,0.0636041899657905
AND,2046,31,0.0636041899657905
AND,2047,32,0.0636041899657905
AND,2048,33,0.0636041899657905
AND,2049,34,0.0636041899657905
AND,2050,35,0.0636041899657905
ARE,2010,-5,0.0717603962017027
ARE,2011,-4,0.0717592826089149
ARE,2012,-3,0.0717641325536062
ARE,2013,-2,0.0717647944870177
ARE,2014,-1,0.0677347933543869
ARE,2015,0,0.07095667984112568
ARE,2016,1,0.07095667984112568
ARE,2017,2,0.07095667984112568
ARE,2018,3,0.07095667984112568
ARE,2019,4,0.07095667984112568
ARE,2020,5,0.07095667984112568
ARE,2021,6,0.07095667984112568
ARE,2022,7,0.07095667984112568
ARE,2023,8,0.07095667984112568
ARE,2024,9,0.07095667984112568
ARE,2025,10,0.07095667984112568
ARE,2026,11,0.07095667984112568
ARE,2027,12,0.07095667984112568
ARE,2028,13,0.07095667984112568
ARE,2029,14,0.07095667984112568
ARE,2030,15,0.07095667984112568
ARE,2031,16,0.07095667984112568
ARE,2032,17,0.07095667984112568
ARE,2033,18,0.07095667984112568
ARE,2034,19,0.07095667984112568
ARE,2035,20,0.07095667984112568
ARE,2036,21,0.07095667984112568
ARE,2037,22,0.07095667984112568
ARE,2038,23,0.07095667984112568
ARE,2039,24,0.07095667984112568
ARE,2040,25,0.07095667984112568
ARE,2041,26,0.07095667984112568
ARE,2042,27,0.07095667984112568
ARE,2043,28,0.07095667984112568
ARE,2044,29,0.07095667984112568
ARE,2045,30,0.07095667984112568
ARE,2046,31,0.07095667984112568
ARE,2047,32,0.07095667984112568
ARE,2048,33,0.07095667984112568
ARE,2049,34,0.07095667984112568
ARE,2050,35,0.07095667984112568
ARG,2010,-5,0.134253530571677
ARG,2011,-4,0.14434796032573
ARG,2012,-3,0.13599799449962
ARG,2013,-2,0.160183494154359
ARG,2014,-1,0.146573815349423
ARG,2015,0,0.1442713589801618
ARG,2016,1,0.1442713589801618
ARG,2017,2,0.1442713589801618
ARG,2018,3,0.1442713589801618
ARG,2019,4,0.1442713589801618
ARG,2020,5,0.1442713589801618
ARG,2021,6,0.1442713589801618
ARG,2022,7,0.1442713589801618
ARG,2023,8,0.1442713589801618
ARG,2024,9,0.1442713589801618
ARG,2025,10,0.1442713589801618
ARG,2026,11,0.1442713589801618
ARG,2027,12,0.1442713589801618
ARG,2028,13,0.1442713589801618
ARG,2029,14,0.1442713589801618
ARG,2030,15,0.1442713589801618
ARG,2031,16,0.1442713589801618
ARG,2032,17,0.1442713589801618
ARG,2033,18,0.1442713589801618
ARG,2034,19,0.1442713589801618
ARG,2035,20,0.1442713589801618
ARG,2036,21,0.1442713589801618
ARG,2037,22,0.1442713589801618
ARG,2038,23,0.1442713589801618
ARG,2039,24,0.1442713589801618
ARG,2040,25,0.1442713589801618
ARG,2041,26,0.1442713589801618
ARG,2042,27,0.1442713589801618
ARG,2043,28,0.1442713589801618
ARG,2044,29,0.1442713589801618
ARG,2045,30,0.1442713589801618
ARG,2046,31,0.1442713589801618
ARG,2047,32,0.1442713589801618
ARG,2048,33,0.1442713589801618
ARG,2049,34,0.1442713589801618
ARG,2050,35,0.1442713589801618
ARM,2010,-5,0.112463410876598
ARM,2011,-4,0.121668909825034
ARM,2012,-3,0.12207565953210599
ARM,2013,-2,0.123086900129702
ARM,2014,-1,0.119870967741935
ARM,2015,0,0.119833169621075
ARM,2016,1,0.119833169621075
ARM,2017,2,0.119833169621075
ARM,2018,3,0.119833169621075
ARM,2019,4,0.119833169621075
ARM,2020,5,0.119833169621075
ARM,2021,6,0.119833169621075
ARM,2022,7,0.119833169621075
ARM,2023,8,0.119833169621075
ARM,2024,9,0.119833169621075
ARM,2025,10,0.119833169621075
ARM,2026,11,0.119833169621075
