year,time_period,iso_code3,nemomod_entc_frac_min_share_production_pp_biomass,nemomod_entc_frac_min_share_production_pp_coal,nemomod_entc_frac_min_share_production_pp_gas,nemomod_entc_frac_min_share_production_pp_geothermal,nemomod_entc_frac_min_share_production_pp_hydropower,nemomod_entc_frac_min_share_production_pp_nuclear,nemomod_entc_frac_min_share_production_pp_ocean,nemomod_entc_frac_min_share_production_pp_oil,nemomod_entc_frac_min_share_production_pp_solar,nemomod_entc_frac_min_share_production_pp_wind
2025,10,SUR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9899999999999999,0.0
2026,11,SUR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9899999999999999,0.0
2027,12,SUR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9899999999999999,0.0
2028,13,SUR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9899999999999999,0.0
2029,14,SUR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9899999999999999,0.0
2030,15,SUR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9899999999999999,0.0
2031,16,SUR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9899999999999999,0.0
2032,17,SUR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9899999999999999,0.0
2033,18,SUR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9899999999999999,0.0
2034,19,SUR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9899999999999999,0.0
2035,20,SUR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9899999999999999,0.0
2036,21,SUR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9899999999999999,0.0
2037,22,SUR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9899999999999999,0.0
2038,23,SUR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9899999999999999,0.0
2039,24,SUR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9899999999999999,0.0
2040,25,SUR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9899999999999999,0.0
2041,26,SUR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9899999999999999,0.0
2042,27,SUR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9899999999999999,0.0
2043,28,SUR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9899999999999999,0.0
2044,29,SUR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9899999999999999,0.0
2045,30,SUR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9899999999999999,0.0
2046,31,SUR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9899999999999999,0.0
2047,32,SUR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9899999999999999,0.0
2048,33,SUR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9899999999999999,0.0
