iso_code3,year,elasticity_scoe_enerdem_per_hh_residential_elec_appliances_to_gdppc,elasticity_scoe_enerdem_per_hh_residential_heat_energy_to_gdppc,elasticity_scoe_enerdem_per_mmmgdp_commercial_municipal_elec_appliances_to_gdppc,elasticity_scoe_enerdem_per_mmmgdp_commercial_municipal_heat_energy_to_gdppc,elasticity_scoe_enerdem_per_mmmgdp_other_se_elec_appliances_to_gdppc,elasticity_scoe_enerdem_per_mmmgdp_other_se_heat_energy_to_gdppc
TUN,2022,0.06666666666666667,0.06666666666666667,0.2501605060640501,0.25016050606404566,1.0,1.0
TUN,2023,0.1,0.1,0.2642086970515453,0.264208697051541,1.0,1.0
TUN,2024,0.13333333333333333,0.13333333333333333,0.2782568880390405,0.2782568880390363,1.0,1.0
TUN,2025,0.16666666666666666,0.16666666666666666,0.2923050790265357,0.2923050790265316,1.0,1.0
TUN,2026,0.2,0.2,0.3063532700140309,0.3063532700140269,1.0,1.0
TUN,2027,0.23333333333333334,0.23333333333333334,0.32040146100152606,0.3204014610015222,1.0,1.0
TUN,2028,0.26666666666666666,0.26666666666666666,0.33444965198902127,0.3344496519890175,1.0,1.0
TUN,2029,0.3,0.3,0.3484978429765164,0.3484978429765128,1.0,1.0
TUN,2030,0.3333333333333333,0.3333333333333333,0.36254603396401164,0.3625460339640081,1.0,1.0
TUN,2031,0.36666666666666664,0.36666666666666664,0.37659422495150685,0.3765942249515034,1.0,1.0
TUN,2032,0.4,0.4,0.390642415939002,0.39064241593899873,1.0,1.0
TUN,2033,0.43333333333333335,0.43333333333333335,0.40469060692649717,0.40469060692649406,1.0,1.0
TUN,2034,0.4666666666666667,0.4666666666666667,0.4187387979139924,0.4187387979139893,1.0,1.0
TUN,2035,0.5,0.5,0.4327869889014876,0.43278698890148465,1.0,1.0
TUN,2036,0.5333333333333333,0.5333333333333333,0.4468351798889828,0.4468351798889799,1.0,1.0
TUN,2037,0.5666666666666667,0.5666666666666667,0.46088337087647796,0.46088337087647524,1.0,1.0
TUN,2038,0.6,0.6,0.4749315618639732,0.47493156186397056,1.0,1.0
TUN,2039,0.6333333333333333,0.6333333333333333,0.48897975285146833,0.48897975285146583,1.0,1.0
TUN,2040,0.6666666666666666,0.6666666666666666,0.5030279438389635,0.5030279438389611,1.0,1.0
TUN,2041,0.7,0.7,0.5170761348264588,0.5170761348264565,1.0,1.0
