qty_soil_organic_c_stock_dry_climate_tonne_per_ha,qty_soil_organic_c_stock_temperate_crop_grass_tonne_per_ha,qty_soil_organic_c_stock_temperate_forest_nutrient_poor_tonne_per_ha,qty_soil_organic_c_stock_temperate_forest_nutrient_rich_tonne_per_ha,qty_soil_organic_c_stock_tropical_crop_grass_tonne_per_ha,qty_soil_organic_c_stock_tropical_forest_tonne_per_ha,qty_soil_organic_c_stock_wet_climate_tonne_per_ha,iso_alpha_3,year,time_period
30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,AUS,2034,19
30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,AUS,2035,20
30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,AUS,2036,21
30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,AUS,2037,22
30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,AUS,2038,23
30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,AUS,2039,24
30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,AUS,2040,25
30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,AUS,2041,26
30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,AUS,2042,27
30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,AUS,2043,28
30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,AUS,2044,29
30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,AUS,2045,30
30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,AUS,2046,31
30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,AUS,2047,32
30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,AUS,2048,33
30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,AUS,2049,34
30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,30.05571806958285,AUS,2050,35
72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,AUT,2010,-5
72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,AUT,2011,-4
72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,AUT,2012,-3
