iso_code3,time_period,exports_agrc_bevs_and_spices_tonne,exports_agrc_cereals_tonne,exports_agrc_fibers_tonne,exports_agrc_fruits_tonne,exports_agrc_herbs_and_other_perennial_crops_tonne,exports_agrc_nuts_tonne,exports_agrc_other_annual_tonne,exports_agrc_other_woody_perennial_tonne,exports_agrc_pulses_tonne,exports_agrc_rice_tonne,exports_agrc_sugar_cane_tonne,exports_agrc_tubers_tonne,exports_agrc_vegetables_and_vines_tonne,frac_agrc_crop_demand_imported_bevs_and_spices,frac_agrc_crop_demand_imported_cereals,frac_agrc_crop_demand_imported_fibers,frac_agrc_crop_demand_imported_fruits,frac_agrc_crop_demand_imported_herbs_and_other_perennial_crops,frac_agrc_crop_demand_imported_nuts,frac_agrc_crop_demand_imported_other_annual,frac_agrc_crop_demand_imported_other_woody_perennial,frac_agrc_crop_demand_imported_pulses,frac_agrc_crop_demand_imported_rice,frac_agrc_crop_demand_imported_sugar_cane,frac_agrc_crop_demand_imported_tubers,frac_agrc_crop_demand_imported_vegetables_and_vines,exports_lvst_buffalo,exports_lvst_cattle_dairy,exports_lvst_cattle_nondairy,exports_lvst_chickens,exports_lvst_goats,exports_lvst_horses,exports_lvst_mules,exports_lvst_pigs,exports_lvst_sheep,frac_lvst_livestock_demand_imported_buffalo,frac_lvst_livestock_demand_imported_cattle_dairy,frac_lvst_livestock_demand_imported_cattle_nondairy,frac_lvst_livestock_demand_imported_chickens,frac_lvst_livestock_demand_imported_goats,frac_lvst_livestock_demand_imported_horses,frac_lvst_livestock_demand_imported_mules,frac_lvst_livestock_demand_imported_pigs,frac_lvst_livestock_demand_imported_sheep
MOZ,25,61034.87754367327,2702.5250124210866,25384.26505910067,507767.44238250895,0.0,16731.269379957714,374963.2764042266,99.22160922322587,11577.665800663599,5119.601955732036,12664061.295146601,4.693249747997763,453.6252607380192,0.1444786986424544,0.2701336371234595,0.15489996407470005,0.01451480532329337,0.14893281321072105,6.834725432189803e-05,0.18165729897184063,0.00458322493824945,0.0037117884635736596,0.19982175579283845,0.26690179135458675,0.00973626071933058,0.08572772529064276,0.0,4.2766257374124494,15349.018454400666,1.4829788935384494,0.0,0.0,0.0,55.992470753795665,419.52336896176996,0.0,0.01354793689736788,0.2623426611893493,0.23239495805189264,0.00031767883279922466,1.0000000000000009,0.00034034641691363583,0.05257400962570017,0.061842596970766134
MOZ,26,61950.40070682836,2743.0628876074024,25765.029034987176,515383.9540182465,0.0,16982.23842065708,380587.7255502899,100.70993336157423,11751.33078767355,5196.395985068016,12854022.214573797,4.763648494217729,460.4296396490894,0.1444786986424544,0.2701336371234595,0.15489996407470005,0.01451480532329337,0.14893281321072105,6.834725432189803e-05,0.18165729897184063,0.00458322493824945,0.0037117884635736596,0.19982175579283845,0.26690179135458675,0.00973626071933058,0.08572772529064276,0.0,4.340775123473636,15579.253731216671,1.5052235769415259,0.0,0.0,0.0,56.83235781510259,425.8162194961964,0.0,0.01354793689736788,0.2623426611893493,0.23239495805189264,0.00031767883279922466,1.0000000000000009,0.00034034641691363583,0.05257400962570017,0.061842596970766134
MOZ,27,62879.65671743078,2784.2088309215133,26151.50447051198,523114.7133285201,0.0,17236.97199696693,386296.54143354425,102.22058236199784,11927.600749488654,5274.341924844036,13046832.547792403,4.835103221630995,467.3360842438257,0.1444786986424544,0.2701336371234595,0.15489996407470005,0.01451480532329337,0.14893281321072105,6.834725432189803e-05,0.18165729897184063,0.00458322493824945,0.0037117884635736596,0.19982175579283845,0.26690179135458675,0.00973626071933058,0.08572772529064276,0.0,4.40588675032574,15812.942537184921,1.5278019305956485,0.0,0.0,0.0,57.68484318232912,432.20346278863934,0.0,0.01354793689736788,0.2623426611893493,0.23239495805189264,0.00031767883279922466,1.0000000000000009,0.00034034641691363583,0.05257400962570017,0.061842596970766134
MOZ,28,63822.851568192236,2825.971963385336,26543.77703756966,530961.434028448,0.0,17495.526576921435,392090.9895550474,103.75389109742781,12106.514760730983,5353.457053716696,13242535.03600929,4.907629769955459,474.34612550748307,0.1444786986424544,0.2701336371234595,0.15489996407470005,0.01451480532329337,0.14893281321072105,6.834725432189803e-05,0.18165729897184063,0.00458322493824945,0.0037117884635736596,0.19982175579283845,0.26690179135458675,0.00973626071933058,0.08572772529064276,0.0,4.471975051580626,16050.136675242695,1.5507189595545832,0.0,0.0,0.0,58.55011583006406,438.68651473046896,0.0,0.01354793689736788,0.2623426611893493,0.23239495805189264,0.00031767883279922466,1.0000000000000009,0.00034034641691363583,0.05257400962570017,0.061842596970766134
MOZ,29,64780.19434171511,2868.3615428361154,26941.9336931332,538925.8555388745,0.0,17757.959475575255,397972.35439837305,105.3101994638892,12288.112482141945,5433.758909522446,13441173.061549425,4.98124421650479,481.46131739009525,0.1444786986424544,0.2701336371234595,0.15489996407470005,0.01451480532329337,0.14893281321072105,6.834725432189803e-05,0.18165729897184063,0.00458322493824945,0.0037117884635736596,0.19982175579283845,0.26690179135458675,0.00973626071933058,0.08572772529064276,0.0,4.5390546773543345,16290.888725371331,1.5739797439479017,0.0,0.0,0.0,59.428367567515004,445.2668124514259,0.0,0.01354793689736788,0.2623426611893493,0.23239495805189264,0.00031767883279922466,1.0000000000000009,0.00034034641691363583,0.05257400962570017,0.061842596970766134
MOZ,30,65751.89725684084,2911.386965978657,27346.062698530197,547009.7433719577,0.0,18024.328867708882,403941.93971434864,106.88985245584753,12472.434169374073,5515.265293165282,13642790.657472666,5.055962879752362,488.68323715094664,0.1444786986424544,0.2701336371234595,0.15489996407470005,0.01451480532329337,0.14893281321072105,6.834725432189803e-05,0.18165729897184063,0.00458322493824945,0.0037117884635736596,0.19982175579283845,0.26690179135458675,0.00973626071933058,0.08572772529064276,0.0,4.607140497514649,16535.252056251902,1.5975894401071202,0.0,0.0,0.0,60.319793081027726,451.94581463819725,0.0,0.01354793689736788,0.2623426611893493,0.23239495805189264,0.00031767883279922466,1.0000000000000009,0.00034034641691363583,0.05257400962570017,0.061842596970766134
MOZ,31,66738.17571569343,2955.0577704683365,27756.253639008148,555214.889522537,0.0,18294.69380072451,410001.0688100638,108.49320024268523,12659.520681914684,5597.994272562761,13847432.517334756,5.131802322948647,496.0134857082108,0.1444786986424544,0.2701336371234595,0.15489996407470005,0.01451480532329337,0.14893281321072105,6.834725432189803e-05,0.18165729897184063,0.00458322493824945,0.0037117884635736596,0.19982175579283845,0.26690179135458675,0.00973626071933058,0.08572772529064276,0.0,4.676247604977369,16783.280837095677,1.6215532817087268,0.0,0.0,0.0,61.22458997724314,458.72500185777017,0.0,0.01354793689736788,0.2623426611893493,0.23239495805189264,0.00031767883279922466,1.0000000000000009,0.00034034641691363583,0.05257400962570017,0.061842596970766134
MOZ,32,67739.24835142883,2999.383637025361,28172.597443593266,563543.1128653749,0.0,18569.11420773538,416151.0848422147,110.1205982463255,12849.413492143402,5681.964186651201,14055144.005094774,5.208779357792875,503.45368799383385,0.1444786986424544,0.2701336371234595,0.15489996407470005,0.01451480532329337,0.14893281321072105,6.834725432189803e-05,0.18165729897184063,0.00458322493824945,0.0037117884635736596,0.19982175579283845,0.26690179135458675,0.00973626071933058,0.08572772529064276,0.0,4.746391319052028,17035.03004965211,1.6458765809343574,0.0,0.0,0.0,62.142958826901776,465.60587688563663,0.0,0.01354793689736788,0.2623426611893493,0.23239495805189264,0.00031767883279922466,1.0000000000000009,0.00034034641691363583,0.05257400962570017,0.061842596970766134
MOZ,33,68755.33707670026,3044.3743915807418,28595.186405247165,571996.2595583556,0.0,18847.650920851407,422393.35111484793,111.77240722002038,13042.154694525554,5767.193649450969,14265971.165171197,5.2869110481597685,511.0054933137414,0.1444786986424544,0.2701336371234595,0.15489996407470005,0.01451480532329337,0.14893281321072105,6.834725432189803e-05,0.18165729897184063,0.00458322493824945,0.0037117884635736596,0.19982175579283845,0.26690179135458675,0.00973626071933058,0.08572772529064276,0.0,4.817587188837808,17290.55550039689,1.6705647296483728,0.0,0.0,0.0,63.075103209305304,472.5899650389212,0.0,0.01354793689736788,0.2623426611893493,0.23239495805189264,0.00031767883279922466,1.0000000000000009,0.00034034641691363583,0.05257400962570017,0.061842596970766134
MOZ,34,69786.66713285075,3090.0400074544523,29024.114201325865,580576.2034517308,0.0,19130.365684664175,428729.2513815706,113.44899332832067,13237.787014943435,5853.701554192733,14479960.732648762,5.366214713882164,518.6705757134474,0.1444786986424544,0.2701336371234595,0.15489996407470005,0.01451480532329337,0.14893281321072105,6.834725432189803e-05,0.18165729897184063,0.00458322493824945,0.0037117884635736596,0.19982175579283845,0.26690179135458675,0.00973626071933058,0.08572772529064276,0.0,4.889850996670375,17549.913832902843,1.695623200593098,0.0,0.0,0.0,64.02122975744487,479.67881451450495,0.0,0.01354793689736788,0.2623426611893493,0.23239495805189264,0.00031767883279922466,1.0000000000000009,0.00034034641691363583,0.05257400962570017,0.061842596970766134
